,Survived,Pclass,Age,cat_male,cat_Q,cat_S,cat_Miss,cat_Mr,cat_Mrs,cat_Other,cat_big,cat_small
0,0,-1,22.0,1,0,1,0,1,0,0,0,1
1,1,1,38.0,0,0,0,0,0,1,0,0,1
2,1,-1,26.0,0,0,1,1,0,0,0,0,0
3,1,1,35.0,0,0,1,0,0,1,0,0,1
4,0,-1,35.0,1,0,1,0,1,0,0,0,0
5,0,-1,26.0,1,1,0,0,1,0,0,0,0
6,0,1,54.0,1,0,1,0,1,0,0,0,0
7,0,-1,2.0,1,0,1,0,0,0,0,1,0
8,1,-1,27.0,0,0,1,0,0,1,0,0,1
9,1,0,14.0,0,0,0,0,0,1,0,0,1
10,1,-1,4.0,0,0,1,1,0,0,0,0,1
11,1,1,58.0,0,0,1,1,0,0,0,0,0
12,0,-1,20.0,1,0,1,0,1,0,0,0,0
13,0,-1,39.0,1,0,1,0,1,0,0,1,0
14,0,-1,14.0,0,0,1,1,0,0,0,0,0
15,1,0,55.0,0,0,1,0,0,1,0,0,0
16,0,-1,2.0,1,1,0,0,0,0,0,1,0
17,1,0,31.0,1,0,1,0,1,0,0,0,0
18,0,-1,31.0,0,0,1,0,0,1,0,0,1
19,1,-1,31.0,0,0,0,0,0,1,0,0,0
20,0,0,35.0,1,0,1,0,1,0,0,0,0
21,1,0,34.0,1,0,1,0,1,0,0,0,0
22,1,-1,15.0,0,1,0,1,0,0,0,0,0
23,1,1,28.0,1,0,1,0,1,0,0,0,0
24,0,-1,8.0,0,0,1,1,0,0,0,1,0
25,1,-1,38.0,0,0,1,0,0,1,0,1,0
26,0,-1,26.0,1,0,0,0,1,0,0,0,0
27,0,1,19.0,1,0,1,0,1,0,0,1,0
28,1,-1,18.0,0,1,0,1,0,0,0,0,0
29,0,-1,26.0,1,0,1,0,1,0,0,0,0
30,0,1,40.0,1,0,0,0,0,0,1,0,0
31,1,1,40.0,0,0,0,0,0,1,0,0,1
32,1,-1,18.0,0,1,0,1,0,0,0,0,0
33,0,0,66.0,1,0,1,0,1,0,0,0,0
34,0,1,28.0,1,0,0,0,1,0,0,0,1
35,0,1,42.0,1,0,1,0,1,0,0,0,1
36,1,-1,26.0,1,0,0,0,1,0,0,0,0
37,0,-1,21.0,1,0,1,0,1,0,0,0,0
38,0,-1,18.0,0,0,1,1,0,0,0,0,1
39,1,-1,14.0,0,0,0,1,0,0,0,0,1
40,0,-1,40.0,0,0,1,0,0,1,0,0,1
41,0,0,27.0,0,0,1,0,0,1,0,0,1
42,0,-1,26.0,1,0,0,0,1,0,0,0,0
43,1,0,3.0,0,0,0,1,0,0,0,0,1
44,1,-1,19.0,0,1,0,1,0,0,0,0,0
45,0,-1,26.0,1,0,1,0,1,0,0,0,0
46,0,-1,26.0,1,1,0,0,1,0,0,0,1
47,1,-1,18.0,0,1,0,1,0,0,0,0,0
48,0,-1,26.0,1,0,0,0,1,0,0,0,1
49,0,-1,18.0,0,0,1,0,0,1,0,0,1
50,0,-1,7.0,1,0,1,0,0,0,0,1,0
51,0,-1,21.0,1,0,1,0,1,0,0,0,0
52,1,1,49.0,0,0,0,0,0,1,0,0,1
53,1,0,29.0,0,0,1,0,0,1,0,0,1
54,0,1,65.0,1,0,0,0,1,0,0,0,1
55,1,1,40.0,1,0,1,0,1,0,0,0,0
56,1,0,21.0,0,0,1,1,0,0,0,0,0
57,0,-1,28.5,1,0,0,0,1,0,0,0,0
58,1,0,5.0,0,0,1,1,0,0,0,0,1
59,0,-1,11.0,1,0,1,0,0,0,0,1,0
60,0,-1,22.0,1,0,0,0,1,0,0,0,0
61,1,1,38.0,0,0,0,1,0,0,0,0,0
62,0,1,45.0,1,0,1,0,1,0,0,0,1
63,0,-1,4.0,1,0,1,0,0,0,0,1,0
64,0,1,40.0,1,0,0,0,1,0,0,0,0
65,1,-1,4.0,1,0,0,0,0,0,0,0,1
66,1,0,29.0,0,0,1,0,0,1,0,0,0
67,0,-1,19.0,1,0,1,0,1,0,0,0,0
68,1,-1,17.0,0,0,1,1,0,0,0,1,0
69,0,-1,26.0,1,0,1,0,1,0,0,0,1
70,0,0,32.0,1,0,1,0,1,0,0,0,0
71,0,-1,16.0,0,0,1,1,0,0,0,1,0
72,0,0,21.0,1,0,1,0,1,0,0,0,0
73,0,-1,26.0,1,0,0,0,1,0,0,0,1
74,1,-1,32.0,1,0,1,0,1,0,0,0,0
75,0,-1,25.0,1,0,1,0,1,0,0,0,0
76,0,-1,26.0,1,0,1,0,1,0,0,0,0
77,0,-1,26.0,1,0,1,0,1,0,0,0,0
78,1,0,0.83,1,0,1,0,0,0,0,0,1
79,1,-1,30.0,0,0,1,1,0,0,0,0,0
80,0,-1,22.0,1,0,1,0,1,0,0,0,0
81,1,-1,29.0,1,0,1,0,1,0,0,0,0
82,1,-1,18.0,0,1,0,1,0,0,0,0,0
83,0,1,28.0,1,0,1,0,1,0,0,0,0
84,1,0,17.0,0,0,1,1,0,0,0,0,0
85,1,-1,33.0,0,0,1,0,0,1,0,0,1
86,0,-1,16.0,1,0,1,0,1,0,0,1,0
87,0,-1,26.0,1,0,1,0,1,0,0,0,0
88,1,1,23.0,0,0,1,1,0,0,0,1,0
89,0,-1,24.0,1,0,1,0,1,0,0,0,0
90,0,-1,29.0,1,0,1,0,1,0,0,0,0
91,0,-1,20.0,1,0,1,0,1,0,0,0,0
92,0,1,46.0,1,0,1,0,1,0,0,0,1
93,0,-1,26.0,1,0,1,0,1,0,0,0,1
94,0,-1,59.0,1,0,1,0,1,0,0,0,0
95,0,-1,26.0,1,0,1,0,1,0,0,0,0
96,0,1,71.0,1,0,0,0,1,0,0,0,0
97,1,1,23.0,1,0,0,0,1,0,0,0,1
98,1,0,34.0,0,0,1,0,0,1,0,0,1
99,0,0,34.0,1,0,1,0,1,0,0,0,1
100,0,-1,28.0,0,0,1,1,0,0,0,0,0
101,0,-1,26.0,1,0,1,0,1,0,0,0,0
102,0,1,21.0,1,0,1,0,1,0,0,0,1
103,0,-1,33.0,1,0,1,0,1,0,0,0,0
104,0,-1,37.0,1,0,1,0,1,0,0,0,1
105,0,-1,28.0,1,0,1,0,1,0,0,0,0
106,1,-1,21.0,0,0,1,1,0,0,0,0,0
107,1,-1,26.0,1,0,1,0,1,0,0,0,0
108,0,-1,38.0,1,0,1,0,1,0,0,0,0
109,1,-1,18.0,0,1,0,1,0,0,0,0,1
110,0,1,47.0,1,0,1,0,1,0,0,0,0
111,0,-1,14.5,0,0,0,1,0,0,0,0,1
112,0,-1,22.0,1,0,1,0,1,0,0,0,0
113,0,-1,20.0,0,0,1,1,0,0,0,0,1
114,0,-1,17.0,0,0,0,1,0,0,0,0,0
115,0,-1,21.0,1,0,1,0,1,0,0,0,0
116,0,-1,70.5,1,1,0,0,1,0,0,0,0
117,0,0,29.0,1,0,1,0,1,0,0,0,1
118,0,1,24.0,1,0,0,0,1,0,0,0,1
119,0,-1,2.0,0,0,1,1,0,0,0,1,0
120,0,0,21.0,1,0,1,0,1,0,0,0,1
121,0,-1,26.0,1,0,1,0,1,0,0,0,0
122,0,0,32.5,1,0,0,0,1,0,0,0,1
123,1,0,32.5,0,0,1,1,0,0,0,0,0
124,0,1,54.0,1,0,1,0,1,0,0,0,1
125,1,-1,12.0,1,0,0,0,0,0,0,0,1
126,0,-1,26.0,1,1,0,0,1,0,0,0,0
127,1,-1,24.0,1,0,1,0,1,0,0,0,0
128,1,-1,18.0,0,0,0,1,0,0,0,0,1
129,0,-1,45.0,1,0,1,0,1,0,0,0,0
130,0,-1,33.0,1,0,0,0,1,0,0,0,0
131,0,-1,20.0,1,0,1,0,1,0,0,0,0
132,0,-1,47.0,0,0,1,0,0,1,0,0,1
133,1,0,29.0,0,0,1,0,0,1,0,0,1
134,0,0,25.0,1,0,1,0,1,0,0,0,0
135,0,0,23.0,1,0,0,0,1,0,0,0,0
136,1,1,19.0,0,0,1,1,0,0,0,0,1
137,0,1,37.0,1,0,1,0,1,0,0,0,1
138,0,-1,16.0,1,0,1,0,1,0,0,0,0
139,0,1,24.0,1,0,0,0,1,0,0,0,0
140,0,-1,31.0,0,0,0,0,0,1,0,0,1
141,1,-1,22.0,0,0,1,1,0,0,0,0,0
142,1,-1,24.0,0,0,1,0,0,1,0,0,1
143,0,-1,19.0,1,1,0,0,1,0,0,0,0
144,0,0,18.0,1,0,1,0,1,0,0,0,0
145,0,0,19.0,1,0,1,0,1,0,0,0,1
146,1,-1,27.0,1,0,1,0,1,0,0,0,0
147,0,-1,9.0,0,0,1,1,0,0,0,1,0
148,0,0,36.5,1,0,1,0,1,0,0,0,1
149,0,0,42.0,1,0,1,0,0,0,1,0,0
150,0,0,51.0,1,0,1,0,0,0,1,0,0
151,1,1,22.0,0,0,1,0,0,1,0,0,1
152,0,-1,55.5,1,0,1,0,1,0,0,0,0
153,0,-1,40.5,1,0,1,0,1,0,0,0,1
154,0,-1,26.0,1,0,1,0,1,0,0,0,0
155,0,1,51.0,1,0,0,0,1,0,0,0,1
156,1,-1,16.0,0,1,0,1,0,0,0,0,0
157,0,-1,30.0,1,0,1,0,1,0,0,0,0
158,0,-1,26.0,1,0,1,0,1,0,0,0,0
159,0,-1,4.0,1,0,1,0,0,0,0,1,0
160,0,-1,44.0,1,0,1,0,1,0,0,0,1
161,1,0,40.0,0,0,1,0,0,1,0,0,0
162,0,-1,26.0,1,0,1,0,1,0,0,0,0
163,0,-1,17.0,1,0,1,0,1,0,0,0,0
164,0,-1,1.0,1,0,1,0,0,0,0,1,0
165,1,-1,9.0,1,0,1,0,0,0,0,0,1
166,1,1,40.0,0,0,1,0,0,1,0,0,1
167,0,-1,45.0,0,0,1,0,0,1,0,1,0
168,0,1,40.0,1,0,1,0,1,0,0,0,0
169,0,-1,28.0,1,0,1,0,1,0,0,0,0
170,0,1,61.0,1,0,1,0,1,0,0,0,0
171,0,-1,4.0,1,1,0,0,0,0,0,1,0
172,1,-1,1.0,0,0,1,1,0,0,0,0,1
173,0,-1,21.0,1,0,1,0,1,0,0,0,0
174,0,1,56.0,1,0,0,0,1,0,0,0,0
175,0,-1,18.0,1,0,1,0,1,0,0,0,1
176,0,-1,4.0,1,0,1,0,0,0,0,1,0
177,0,1,50.0,0,0,0,1,0,0,0,0,0
178,0,0,30.0,1,0,1,0,1,0,0,0,0
179,0,-1,36.0,1,0,1,0,1,0,0,0,0
180,0,-1,18.0,0,0,1,1,0,0,0,1,0
181,0,0,31.0,1,0,0,0,1,0,0,0,0
182,0,-1,9.0,1,0,1,0,0,0,0,1,0
183,1,0,1.0,1,0,1,0,0,0,0,0,1
184,1,-1,4.0,0,0,1,1,0,0,0,0,1
185,0,1,40.0,1,0,1,0,1,0,0,0,0
186,1,-1,31.0,0,1,0,0,0,1,0,0,1
187,1,1,45.0,1,0,1,0,1,0,0,0,0
188,0,-1,40.0,1,1,0,0,1,0,0,0,1
189,0,-1,36.0,1,0,1,0,1,0,0,0,0
190,1,0,32.0,0,0,1,0,0,1,0,0,0
191,0,0,19.0,1,0,1,0,1,0,0,0,0
192,1,-1,19.0,0,0,1,1,0,0,0,0,1
193,1,0,3.0,1,0,1,0,0,0,0,0,1
194,1,1,44.0,0,0,0,0,0,1,0,0,0
195,1,1,58.0,0,0,0,1,0,0,0,0,0
196,0,-1,26.0,1,1,0,0,1,0,0,0,0
197,0,-1,42.0,1,0,1,0,1,0,0,0,1
198,1,-1,18.0,0,1,0,1,0,0,0,0,0
199,0,0,24.0,0,0,1,1,0,0,0,0,0
200,0,-1,28.0,1,0,1,0,1,0,0,0,0
201,0,-1,26.0,1,0,1,0,1,0,0,1,0
202,0,-1,34.0,1,0,1,0,1,0,0,0,0
203,0,-1,45.5,1,0,0,0,1,0,0,0,0
204,1,-1,18.0,1,0,1,0,1,0,0,0,0
205,0,-1,2.0,0,0,1,1,0,0,0,0,1
206,0,-1,32.0,1,0,1,0,1,0,0,0,1
207,1,-1,26.0,1,0,0,0,1,0,0,0,0
208,1,-1,16.0,0,1,0,1,0,0,0,0,0
209,1,1,40.0,1,0,0,0,1,0,0,0,0
210,0,-1,24.0,1,0,1,0,1,0,0,0,0
211,1,0,35.0,0,0,1,1,0,0,0,0,0
212,0,-1,22.0,1,0,1,0,1,0,0,0,0
213,0,0,30.0,1,0,1,0,1,0,0,0,0
214,0,-1,26.0,1,1,0,0,1,0,0,0,1
215,1,1,31.0,0,0,0,1,0,0,0,0,1
216,1,-1,27.0,0,0,1,1,0,0,0,0,0
217,0,0,42.0,1,0,1,0,1,0,0,0,1
218,1,1,32.0,0,0,0,1,0,0,0,0,0
219,0,0,30.0,1,0,1,0,1,0,0,0,0
220,1,-1,16.0,1,0,1,0,1,0,0,0,0
221,0,0,27.0,1,0,1,0,1,0,0,0,0
222,0,-1,51.0,1,0,1,0,1,0,0,0,0
223,0,-1,26.0,1,0,1,0,1,0,0,0,0
224,1,1,38.0,1,0,1,0,1,0,0,0,1
225,0,-1,22.0,1,0,1,0,1,0,0,0,0
226,1,0,19.0,1,0,1,0,1,0,0,0,0
227,0,-1,20.5,1,0,1,0,1,0,0,0,0
228,0,0,18.0,1,0,1,0,1,0,0,0,0
229,0,-1,18.0,0,0,1,1,0,0,0,1,0
230,1,1,35.0,0,0,1,0,0,1,0,0,1
231,0,-1,29.0,1,0,1,0,1,0,0,0,0
232,0,0,59.0,1,0,1,0,1,0,0,0,0
233,1,-1,5.0,0,0,1,1,0,0,0,1,0
234,0,0,24.0,1,0,1,0,1,0,0,0,0
235,0,-1,18.0,0,0,1,1,0,0,0,0,0
236,0,0,44.0,1,0,1,0,1,0,0,0,1
237,1,0,8.0,0,0,1,1,0,0,0,0,1
238,0,0,19.0,1,0,1,0,1,0,0,0,0
239,0,0,33.0,1,0,1,0,1,0,0,0,0
240,0,-1,18.0,0,0,0,1,0,0,0,0,1
241,1,-1,18.0,0,1,0,1,0,0,0,0,1
242,0,0,29.0,1,0,1,0,1,0,0,0,0
243,0,-1,22.0,1,0,1,0,1,0,0,0,0
244,0,-1,30.0,1,0,0,0,1,0,0,0,0
245,0,1,44.0,1,1,0,0,0,0,1,0,1
246,0,-1,25.0,0,0,1,1,0,0,0,0,0
247,1,0,24.0,0,0,1,0,0,1,0,0,1
248,1,1,37.0,1,0,1,0,1,0,0,0,1
249,0,0,54.0,1,0,1,0,0,0,1,0,1
250,0,-1,26.0,1,0,1,0,1,0,0,0,0
251,0,-1,29.0,0,0,1,0,0,1,0,0,1
252,0,1,62.0,1,0,1,0,1,0,0,0,0
253,0,-1,30.0,1,0,1,0,1,0,0,0,1
254,0,-1,41.0,0,0,1,0,0,1,0,0,1
255,1,-1,29.0,0,0,0,0,0,1,0,0,1
256,1,1,40.0,0,0,0,0,0,1,0,0,0
257,1,1,30.0,0,0,1,1,0,0,0,0,0
258,1,1,35.0,0,0,0,1,0,0,0,0,0
259,1,0,50.0,0,0,1,0,0,1,0,0,1
260,0,-1,26.0,1,1,0,0,1,0,0,0,0
261,1,-1,3.0,1,0,1,0,0,0,0,1,0
262,0,1,52.0,1,0,1,0,1,0,0,0,1
263,0,1,40.0,1,0,1,0,1,0,0,0,0
264,0,-1,18.0,0,1,0,1,0,0,0,0,0
265,0,0,36.0,1,0,1,0,1,0,0,0,0
266,0,-1,16.0,1,0,1,0,1,0,0,1,0
267,1,-1,25.0,1,0,1,0,1,0,0,0,1
268,1,1,58.0,0,0,1,0,0,1,0,0,1
269,1,1,35.0,0,0,1,1,0,0,0,0,0
270,0,1,40.0,1,0,1,0,1,0,0,0,0
271,1,-1,25.0,1,0,1,0,1,0,0,0,0
272,1,0,41.0,0,0,1,0,0,1,0,0,1
273,0,1,37.0,1,0,0,0,1,0,0,0,1
274,1,-1,18.0,0,1,0,1,0,0,0,0,0
275,1,1,63.0,0,0,1,1,0,0,0,0,1
276,0,-1,45.0,0,0,1,1,0,0,0,0,0
277,0,0,31.0,1,0,1,0,1,0,0,0,0
278,0,-1,7.0,1,1,0,0,0,0,0,1,0
279,1,-1,35.0,0,0,1,0,0,1,0,0,1
280,0,-1,65.0,1,1,0,0,1,0,0,0,0
281,0,-1,28.0,1,0,1,0,1,0,0,0,0
282,0,-1,16.0,1,0,1,0,1,0,0,0,0
283,1,-1,19.0,1,0,1,0,1,0,0,0,0
284,0,1,40.0,1,0,1,0,1,0,0,0,0
285,0,-1,33.0,1,0,0,0,1,0,0,0,0
286,1,-1,30.0,1,0,1,0,1,0,0,0,0
287,0,-1,22.0,1,0,1,0,1,0,0,0,0
288,1,0,42.0,1,0,1,0,1,0,0,0,0
289,1,-1,22.0,0,1,0,1,0,0,0,0,0
290,1,1,26.0,0,0,1,1,0,0,0,0,0
291,1,1,19.0,0,0,0,0,0,1,0,0,1
292,0,0,36.0,1,0,0,0,1,0,0,0,0
293,0,-1,24.0,0,0,1,1,0,0,0,0,0
294,0,-1,24.0,1,0,1,0,1,0,0,0,0
295,0,1,40.0,1,0,0,0,1,0,0,0,0
296,0,-1,23.5,1,0,0,0,1,0,0,0,0
297,0,1,2.0,0,0,1,1,0,0,0,0,1
298,1,1,40.0,1,0,1,0,1,0,0,0,0
299,1,1,50.0,0,0,0,0,0,1,0,0,1
300,1,-1,18.0,0,1,0,1,0,0,0,0,0
301,1,-1,26.0,1,1,0,0,1,0,0,0,1
302,0,-1,19.0,1,0,1,0,1,0,0,0,0
303,1,0,24.0,0,1,0,1,0,0,0,0,0
304,0,-1,26.0,1,0,1,0,1,0,0,0,0
305,1,1,0.92,1,0,1,0,0,0,0,0,1
306,1,1,30.0,0,0,0,1,0,0,0,0,0
307,1,1,17.0,0,0,0,0,0,1,0,0,1
308,0,0,30.0,1,0,0,0,1,0,0,0,1
309,1,1,30.0,0,0,0,1,0,0,0,0,0
310,1,1,24.0,0,0,0,1,0,0,0,0,0
311,1,1,18.0,0,0,0,1,0,0,0,1,0
312,0,0,26.0,0,0,1,0,0,1,0,0,1
313,0,-1,28.0,1,0,1,0,1,0,0,0,0
314,0,0,43.0,1,0,1,0,1,0,0,0,1
315,1,-1,26.0,0,0,1,1,0,0,0,0,0
316,1,0,24.0,0,0,1,0,0,1,0,0,1
317,0,0,54.0,1,0,1,0,0,0,1,0,0
318,1,1,31.0,0,0,1,1,0,0,0,0,1
319,1,1,40.0,0,0,0,0,0,1,0,0,1
320,0,-1,22.0,1,0,1,0,1,0,0,0,0
321,0,-1,27.0,1,0,1,0,1,0,0,0,0
322,1,0,30.0,0,1,0,1,0,0,0,0,0
323,1,0,22.0,0,0,1,0,0,1,0,0,1
324,0,-1,26.0,1,0,1,0,1,0,0,1,0
325,1,1,36.0,0,0,0,1,0,0,0,0,0
326,0,-1,61.0,1,0,1,0,1,0,0,0,0
327,1,0,36.0,0,0,1,0,0,1,0,0,0
328,1,-1,31.0,0,0,1,0,0,1,0,0,1
329,1,1,16.0,0,0,0,1,0,0,0,0,1
330,1,-1,18.0,0,1,0,1,0,0,0,0,1
331,0,1,45.5,1,0,1,0,1,0,0,0,0
332,0,1,38.0,1,0,1,0,1,0,0,0,1
333,0,-1,16.0,1,0,1,0,1,0,0,0,1
334,1,1,40.0,0,0,1,0,0,1,0,0,1
335,0,-1,26.0,1,0,1,0,1,0,0,0,0
336,0,1,29.0,1,0,1,0,1,0,0,0,1
337,1,1,41.0,0,0,0,1,0,0,0,0,0
338,1,-1,45.0,1,0,1,0,1,0,0,0,0
339,0,1,45.0,1,0,1,0,1,0,0,0,0
340,1,0,2.0,1,0,1,0,0,0,0,0,1
341,1,1,24.0,0,0,1,1,0,0,0,1,0
342,0,0,28.0,1,0,1,0,1,0,0,0,0
343,0,0,25.0,1,0,1,0,1,0,0,0,0
344,0,0,36.0,1,0,1,0,1,0,0,0,0
345,1,0,24.0,0,0,1,1,0,0,0,0,0
346,1,0,40.0,0,0,1,1,0,0,0,0,0
347,1,-1,31.0,0,0,1,0,0,1,0,0,1
348,1,-1,3.0,1,0,1,0,0,0,0,0,1
349,0,-1,42.0,1,0,1,0,1,0,0,0,0
350,0,-1,23.0,1,0,1,0,1,0,0,0,0
351,0,1,40.0,1,0,1,0,1,0,0,0,0
352,0,-1,15.0,1,0,0,0,1,0,0,0,1
353,0,-1,25.0,1,0,1,0,1,0,0,0,1
354,0,-1,26.0,1,0,0,0,1,0,0,0,0
355,0,-1,28.0,1,0,1,0,1,0,0,0,0
356,1,1,22.0,0,0,1,1,0,0,0,0,1
357,0,0,38.0,0,0,1,1,0,0,0,0,0
358,1,-1,18.0,0,1,0,1,0,0,0,0,0
359,1,-1,18.0,0,1,0,1,0,0,0,0,0
360,0,-1,40.0,1,0,1,0,1,0,0,1,0
361,0,0,29.0,1,0,0,0,1,0,0,0,1
362,0,-1,45.0,0,0,0,0,0,1,0,0,1
363,0,-1,35.0,1,0,1,0,1,0,0,0,0
364,0,-1,26.0,1,1,0,0,1,0,0,0,1
365,0,-1,30.0,1,0,1,0,1,0,0,0,0
366,1,1,60.0,0,0,0,0,0,1,0,0,1
367,1,-1,31.0,0,0,0,0,0,1,0,0,0
368,1,-1,18.0,0,1,0,1,0,0,0,0,0
369,1,1,24.0,0,0,0,0,0,1,0,0,0
370,1,1,25.0,1,0,0,0,1,0,0,0,1
371,0,-1,18.0,1,0,1,0,1,0,0,0,1
372,0,-1,19.0,1,0,1,0,1,0,0,0,0
373,0,1,22.0,1,0,0,0,1,0,0,0,0
374,0,-1,3.0,0,0,1,1,0,0,0,1,0
375,1,1,40.0,0,0,0,0,0,1,0,0,1
376,1,-1,22.0,0,0,1,1,0,0,0,0,0
377,0,1,27.0,1,0,0,0,1,0,0,0,1
378,0,-1,20.0,1,0,0,0,1,0,0,0,0
379,0,-1,19.0,1,0,1,0,1,0,0,0,0
380,1,1,42.0,0,0,0,1,0,0,0,0,0
381,1,-1,1.0,0,0,0,1,0,0,0,0,1
382,0,-1,32.0,1,0,1,0,1,0,0,0,0
383,1,1,35.0,0,0,1,0,0,1,0,0,1
384,0,-1,26.0,1,0,1,0,1,0,0,0,0
385,0,0,18.0,1,0,1,0,1,0,0,0,0
386,0,-1,1.0,1,0,1,0,0,0,0,1,0
387,1,0,36.0,0,0,1,1,0,0,0,0,0
388,0,-1,26.0,1,1,0,0,1,0,0,0,0
389,1,0,17.0,0,0,0,1,0,0,0,0,0
390,1,1,36.0,1,0,1,0,1,0,0,0,1
391,1,-1,21.0,1,0,1,0,1,0,0,0,0
392,0,-1,28.0,1,0,1,0,1,0,0,0,1
393,1,1,23.0,0,0,0,1,0,0,0,0,1
394,1,-1,24.0,0,0,1,0,0,1,0,0,1
395,0,-1,22.0,1,0,1,0,1,0,0,0,0
396,0,-1,31.0,0,0,1,1,0,0,0,0,0
397,0,0,46.0,1,0,1,0,1,0,0,0,0
398,0,0,23.0,1,0,1,0,0,0,1,0,0
399,1,0,28.0,0,0,1,0,0,1,0,0,0
400,1,-1,39.0,1,0,1,0,1,0,0,0,0
401,0,-1,26.0,1,0,1,0,1,0,0,0,0
402,0,-1,21.0,0,0,1,1,0,0,0,0,1
403,0,-1,28.0,1,0,1,0,1,0,0,0,1
404,0,-1,20.0,0,0,1,1,0,0,0,0,0
405,0,0,34.0,1,0,1,0,1,0,0,0,1
406,0,-1,51.0,1,0,1,0,1,0,0,0,0
407,1,0,3.0,1,0,1,0,0,0,0,0,1
408,0,-1,21.0,1,0,1,0,1,0,0,0,0
409,0,-1,18.0,0,0,1,1,0,0,0,1,0
410,0,-1,26.0,1,0,1,0,1,0,0,0,0
411,0,-1,26.0,1,1,0,0,1,0,0,0,0
412,1,1,33.0,0,1,0,1,0,0,0,0,1
413,0,0,31.0,1,0,1,0,1,0,0,0,0
414,1,-1,44.0,1,0,1,0,1,0,0,0,0
415,0,-1,31.0,0,0,1,0,0,1,0,0,0
416,1,0,34.0,0,0,1,0,0,1,0,0,1
417,1,0,18.0,0,0,1,1,0,0,0,0,1
418,0,0,30.0,1,0,1,0,1,0,0,0,0
419,0,-1,10.0,0,0,1,1,0,0,0,0,1
420,0,-1,26.0,1,0,0,0,1,0,0,0,0
421,0,-1,21.0,1,1,0,0,1,0,0,0,0
422,0,-1,29.0,1,0,1,0,1,0,0,0,0
423,0,-1,28.0,0,0,1,0,0,1,0,0,1
424,0,-1,18.0,1,0,1,0,1,0,0,0,1
425,0,-1,26.0,1,0,1,0,1,0,0,0,0
426,1,0,28.0,0,0,1,0,0,1,0,0,1
427,1,0,19.0,0,0,1,1,0,0,0,0,0
428,0,-1,26.0,1,1,0,0,1,0,0,0,0
429,1,-1,32.0,1,0,1,0,1,0,0,0,0
430,1,1,28.0,1,0,1,0,1,0,0,0,0
431,1,-1,31.0,0,0,1,0,0,1,0,0,1
432,1,0,42.0,0,0,1,0,0,1,0,0,1
433,0,-1,17.0,1,0,1,0,1,0,0,0,0
434,0,1,50.0,1,0,1,0,1,0,0,0,1
435,1,1,14.0,0,0,1,1,0,0,0,0,1
436,0,-1,21.0,0,0,1,1,0,0,0,1,0
437,1,0,24.0,0,0,1,0,0,1,0,1,0
438,0,1,64.0,1,0,1,0,1,0,0,1,0
439,0,0,31.0,1,0,1,0,1,0,0,0,0
440,1,0,45.0,0,0,1,0,0,1,0,0,1
441,0,-1,20.0,1,0,1,0,1,0,0,0,0
442,0,-1,25.0,1,0,1,0,1,0,0,0,1
443,1,0,28.0,0,0,1,1,0,0,0,0,0
444,1,-1,26.0,1,0,1,0,1,0,0,0,0
