,Survived,Pclass,Age,cat_male,cat_Q,cat_S,cat_Miss,cat_Mr,cat_Mrs,cat_Other,cat_big,cat_small
445,1,1,4.0,1,0,1,0,0,0,0,0,1
446,1,0,13.0,0,0,1,1,0,0,0,0,1
447,1,1,34.0,1,0,1,0,1,0,0,0,0
448,1,-1,5.0,0,0,0,1,0,0,0,0,1
449,1,1,52.0,1,0,1,0,0,0,1,0,0
450,0,0,36.0,1,0,1,0,1,0,0,0,1
451,0,-1,26.0,1,0,1,0,1,0,0,0,1
452,0,1,30.0,1,0,0,0,1,0,0,0,0
453,1,1,49.0,1,0,0,0,1,0,0,0,1
454,0,-1,26.0,1,0,1,0,1,0,0,0,0
455,1,-1,29.0,1,0,0,0,1,0,0,0,0
456,0,1,65.0,1,0,1,0,1,0,0,0,0
457,1,1,40.0,0,0,1,0,0,1,0,0,1
458,1,0,50.0,0,0,1,1,0,0,0,0,0
459,0,-1,26.0,1,1,0,0,1,0,0,0,0
460,1,1,48.0,1,0,1,0,1,0,0,0,0
461,0,-1,34.0,1,0,1,0,1,0,0,0,0
462,0,1,47.0,1,0,1,0,1,0,0,0,0
463,0,0,48.0,1,0,1,0,1,0,0,0,0
464,0,-1,26.0,1,0,1,0,1,0,0,0,0
465,0,-1,38.0,1,0,1,0,1,0,0,0,0
466,0,0,31.0,1,0,1,0,1,0,0,0,0
467,0,1,56.0,1,0,1,0,1,0,0,0,0
468,0,-1,26.0,1,1,0,0,1,0,0,0,0
469,1,-1,0.75,0,0,0,1,0,0,0,0,1
470,0,-1,26.0,1,0,1,0,1,0,0,0,0
471,0,-1,38.0,1,0,1,0,1,0,0,0,0
472,1,0,33.0,0,0,1,0,0,1,0,0,1
473,1,0,23.0,0,0,0,0,0,1,0,0,0
474,0,-1,22.0,0,0,1,1,0,0,0,0,0
475,0,1,40.0,1,0,1,0,1,0,0,0,0
476,0,0,34.0,1,0,1,0,1,0,0,0,1
477,0,-1,29.0,1,0,1,0,1,0,0,0,1
478,0,-1,22.0,1,0,1,0,1,0,0,0,0
479,1,-1,2.0,0,0,1,1,0,0,0,0,1
480,0,-1,9.0,1,0,1,0,0,0,0,1,0
481,0,0,31.0,1,0,1,0,1,0,0,0,0
482,0,-1,50.0,1,0,1,0,1,0,0,0,0
483,1,-1,63.0,0,0,1,0,0,1,0,0,0
484,1,1,25.0,1,0,0,0,1,0,0,0,1
485,0,-1,18.0,0,0,1,1,0,0,0,1,0
486,1,1,35.0,0,0,1,0,0,1,0,0,1
487,0,1,58.0,1,0,0,0,1,0,0,0,0
488,0,-1,30.0,1,0,1,0,1,0,0,0,0
489,1,-1,9.0,1,0,1,0,0,0,0,0,1
490,0,-1,26.0,1,0,1,0,1,0,0,0,1
491,0,-1,21.0,1,0,1,0,1,0,0,0,0
492,0,1,55.0,1,0,1,0,1,0,0,0,0
493,0,1,71.0,1,0,0,0,1,0,0,0,0
494,0,-1,21.0,1,0,1,0,1,0,0,0,0
495,0,-1,26.0,1,0,0,0,1,0,0,0,0
496,1,1,54.0,0,0,0,1,0,0,0,0,1
497,0,-1,26.0,1,0,1,0,1,0,0,0,0
498,0,1,25.0,0,0,1,0,0,1,0,0,1
499,0,-1,24.0,1,0,1,0,1,0,0,0,0
500,0,-1,17.0,1,0,1,0,1,0,0,0,0
501,0,-1,21.0,0,1,0,1,0,0,0,0,0
502,0,-1,18.0,0,1,0,1,0,0,0,0,0
503,0,-1,37.0,0,0,1,1,0,0,0,0,0
504,1,1,16.0,0,0,1,1,0,0,0,0,0
505,0,1,18.0,1,0,0,0,1,0,0,0,1
506,1,0,33.0,0,0,1,0,0,1,0,0,1
507,1,1,40.0,1,0,1,0,1,0,0,0,0
508,0,-1,28.0,1,0,1,0,1,0,0,0,0
509,1,-1,26.0,1,0,1,0,1,0,0,0,0
510,1,-1,29.0,1,1,0,0,1,0,0,0,0
511,0,-1,26.0,1,0,1,0,1,0,0,0,0
512,1,1,36.0,1,0,1,0,1,0,0,0,0
513,1,1,54.0,0,0,0,0,0,1,0,0,1
514,0,-1,24.0,1,0,1,0,1,0,0,0,0
515,0,1,47.0,1,0,1,0,1,0,0,0,0
516,1,0,34.0,0,0,1,0,0,1,0,0,0
517,0,-1,26.0,1,1,0,0,1,0,0,0,0
518,1,0,36.0,0,0,1,0,0,1,0,0,1
519,0,-1,32.0,1,0,1,0,1,0,0,0,0
520,1,1,30.0,0,0,1,1,0,0,0,0,0
521,0,-1,22.0,1,0,1,0,1,0,0,0,0
522,0,-1,26.0,1,0,0,0,1,0,0,0,0
523,1,1,44.0,0,0,0,0,0,1,0,0,1
524,0,-1,26.0,1,0,0,0,1,0,0,0,0
525,0,-1,40.5,1,1,0,0,1,0,0,0,0
526,1,0,50.0,0,0,1,1,0,0,0,0,0
527,0,1,40.0,1,0,1,0,1,0,0,0,0
528,0,-1,39.0,1,0,1,0,1,0,0,0,0
529,0,0,23.0,1,0,1,0,1,0,0,0,1
530,1,0,2.0,0,0,1,1,0,0,0,0,1
531,0,-1,26.0,1,0,0,0,1,0,0,0,0
532,0,-1,17.0,1,0,0,0,1,0,0,0,1
533,1,-1,31.0,0,0,0,0,0,1,0,0,1
534,0,-1,30.0,0,0,1,1,0,0,0,0,0
535,1,0,7.0,0,0,1,1,0,0,0,0,1
536,0,1,45.0,1,0,1,0,0,0,1,0,0
537,1,1,30.0,0,0,0,1,0,0,0,0,0
538,0,-1,26.0,1,0,1,0,1,0,0,0,0
539,1,1,22.0,0,0,0,1,0,0,0,0,1
540,1,1,36.0,0,0,1,1,0,0,0,0,1
541,0,-1,9.0,0,0,1,1,0,0,0,1,0
542,0,-1,11.0,0,0,1,1,0,0,0,1,0
543,1,0,32.0,1,0,1,0,1,0,0,0,1
544,0,1,50.0,1,0,0,0,1,0,0,0,1
545,0,1,64.0,1,0,1,0,1,0,0,0,0
546,1,0,19.0,0,0,1,0,0,1,0,0,1
547,1,0,31.0,1,0,0,0,1,0,0,0,0
548,0,-1,33.0,1,0,1,0,1,0,0,0,1
549,1,0,8.0,1,0,1,0,0,0,0,0,1
550,1,1,17.0,1,0,0,0,1,0,0,0,1
551,0,0,27.0,1,0,1,0,1,0,0,0,0
552,0,-1,26.0,1,1,0,0,1,0,0,0,0
553,1,-1,22.0,1,0,0,0,1,0,0,0,0
554,1,-1,22.0,0,0,1,1,0,0,0,0,0
555,0,1,62.0,1,0,1,0,1,0,0,0,0
556,1,1,48.0,0,0,0,0,0,0,1,0,1
557,0,1,40.0,1,0,0,0,1,0,0,0,0
558,1,1,39.0,0,0,1,0,0,1,0,0,1
559,1,-1,36.0,0,0,1,0,0,1,0,0,1
560,0,-1,26.0,1,1,0,0,1,0,0,0,0
561,0,-1,40.0,1,0,1,0,1,0,0,0,0
562,0,0,28.0,1,0,1,0,1,0,0,0,0
563,0,-1,26.0,1,0,1,0,1,0,0,0,0
564,0,-1,18.0,0,0,1,1,0,0,0,0,0
565,0,-1,24.0,1,0,1,0,1,0,0,0,1
566,0,-1,19.0,1,0,1,0,1,0,0,0,0
567,0,-1,29.0,0,0,1,0,0,1,0,1,0
568,0,-1,26.0,1,0,0,0,1,0,0,0,0
569,1,-1,32.0,1,0,1,0,1,0,0,0,0
570,1,0,62.0,1,0,1,0,1,0,0,0,0
571,1,1,53.0,0,0,1,0,0,1,0,0,1
572,1,1,36.0,1,0,1,0,1,0,0,0,0
573,1,-1,18.0,0,1,0,1,0,0,0,0,0
574,0,-1,16.0,1,0,1,0,1,0,0,0,0
575,0,-1,19.0,1,0,1,0,1,0,0,0,0
576,1,0,34.0,0,0,1,1,0,0,0,0,0
577,1,1,39.0,0,0,1,0,0,1,0,0,1
578,0,-1,31.0,0,0,0,0,0,1,0,0,1
579,1,-1,32.0,1,0,1,0,1,0,0,0,0
580,1,0,25.0,0,0,1,1,0,0,0,0,1
581,1,1,39.0,0,0,0,0,0,1,0,0,1
582,0,0,54.0,1,0,1,0,1,0,0,0,0
583,0,1,36.0,1,0,0,0,1,0,0,0,0
584,0,-1,26.0,1,0,0,0,1,0,0,0,0
585,1,1,18.0,0,0,1,1,0,0,0,0,1
586,0,0,47.0,1,0,1,0,1,0,0,0,0
587,1,1,60.0,1,0,0,0,1,0,0,0,1
588,0,-1,22.0,1,0,1,0,1,0,0,0,0
589,0,-1,26.0,1,0,1,0,1,0,0,0,0
590,0,-1,35.0,1,0,1,0,1,0,0,0,0
591,1,1,52.0,0,0,0,0,0,1,0,0,1
592,0,-1,47.0,1,0,1,0,1,0,0,0,0
593,0,-1,18.0,0,1,0,1,0,0,0,0,1
594,0,0,37.0,1,0,1,0,1,0,0,0,1
595,0,-1,36.0,1,0,1,0,1,0,0,0,1
596,1,0,24.0,0,0,1,1,0,0,0,0,0
597,0,-1,49.0,1,0,1,0,1,0,0,0,0
598,0,-1,26.0,1,0,0,0,1,0,0,0,0
599,1,1,49.0,1,0,0,0,0,0,1,0,1
600,1,0,24.0,0,0,1,0,0,1,0,0,1
601,0,-1,26.0,1,0,1,0,1,0,0,0,0
602,0,1,40.0,1,0,1,0,1,0,0,0,0
603,0,-1,44.0,1,0,1,0,1,0,0,0,0
604,1,1,35.0,1,0,0,0,1,0,0,0,0
605,0,-1,36.0,1,0,1,0,1,0,0,0,1
606,0,-1,30.0,1,0,1,0,1,0,0,0,0
607,1,1,27.0,1,0,1,0,1,0,0,0,0
608,1,0,22.0,0,0,0,0,0,1,0,0,1
609,1,1,40.0,0,0,1,1,0,0,0,0,0
610,0,-1,39.0,0,0,1,0,0,1,0,1,0
611,0,-1,26.0,1,0,1,0,1,0,0,0,0
612,1,-1,18.0,0,1,0,1,0,0,0,0,1
613,0,-1,26.0,1,1,0,0,1,0,0,0,0
614,0,-1,35.0,1,0,1,0,1,0,0,0,0
615,1,0,24.0,0,0,1,1,0,0,0,0,1
616,0,-1,34.0,1,0,1,0,1,0,0,0,1
617,0,-1,26.0,0,0,1,0,0,1,0,0,1
618,1,0,4.0,0,0,1,1,0,0,0,0,1
619,0,0,26.0,1,0,1,0,1,0,0,0,0
620,0,-1,27.0,1,0,0,0,1,0,0,0,1
621,1,1,42.0,1,0,1,0,1,0,0,0,1
622,1,-1,20.0,1,0,0,0,1,0,0,0,1
623,0,-1,21.0,1,0,1,0,1,0,0,0,0
624,0,-1,21.0,1,0,1,0,1,0,0,0,0
625,0,1,61.0,1,0,1,0,1,0,0,0,0
626,0,0,57.0,1,1,0,0,0,0,1,0,0
627,1,1,21.0,0,0,1,1,0,0,0,0,0
628,0,-1,26.0,1,0,1,0,1,0,0,0,0
629,0,-1,26.0,1,1,0,0,1,0,0,0,0
630,1,1,80.0,1,0,1,0,1,0,0,0,0
631,0,-1,51.0,1,0,1,0,1,0,0,0,0
632,1,1,32.0,1,0,0,0,0,0,1,0,0
633,0,1,40.0,1,0,1,0,1,0,0,0,0
634,0,-1,9.0,0,0,1,1,0,0,0,1,0
635,1,0,28.0,0,0,1,1,0,0,0,0,0
636,0,-1,32.0,1,0,1,0,1,0,0,0,0
637,0,0,31.0,1,0,1,0,1,0,0,0,1
638,0,-1,41.0,0,0,1,0,0,1,0,1,0
639,0,-1,26.0,1,0,1,0,1,0,0,0,1
640,0,-1,20.0,1,0,1,0,1,0,0,0,0
641,1,1,24.0,0,0,0,1,0,0,0,0,0
642,0,-1,2.0,0,0,1,1,0,0,0,1,0
643,1,-1,26.0,1,0,1,0,1,0,0,0,0
644,1,-1,0.75,0,0,0,1,0,0,0,0,1
645,1,1,48.0,1,0,0,0,1,0,0,0,1
646,0,-1,19.0,1,0,1,0,1,0,0,0,0
647,1,1,56.0,1,0,0,0,0,0,1,0,0
648,0,-1,26.0,1,0,1,0,1,0,0,0,0
649,1,-1,23.0,0,0,1,1,0,0,0,0,0
650,0,-1,26.0,1,0,1,0,1,0,0,0,0
651,1,0,18.0,0,0,1,1,0,0,0,0,1
652,0,-1,21.0,1,0,1,0,1,0,0,0,0
653,1,-1,18.0,0,1,0,1,0,0,0,0,0
654,0,-1,18.0,0,1,0,1,0,0,0,0,0
655,0,0,24.0,1,0,1,0,1,0,0,0,1
656,0,-1,26.0,1,0,1,0,1,0,0,0,0
657,0,-1,32.0,0,1,0,0,0,1,0,0,1
658,0,0,23.0,1,0,1,0,1,0,0,0,0
659,0,1,58.0,1,0,0,0,1,0,0,0,1
660,1,1,50.0,1,0,1,0,0,0,1,0,1
661,0,-1,40.0,1,0,0,0,1,0,0,0,0
662,0,1,47.0,1,0,1,0,1,0,0,0,0
663,0,-1,36.0,1,0,1,0,1,0,0,0,0
664,1,-1,20.0,1,0,1,0,1,0,0,0,1
665,0,0,32.0,1,0,1,0,1,0,0,0,1
666,0,0,25.0,1,0,1,0,1,0,0,0,0
667,0,-1,26.0,1,0,1,0,1,0,0,0,0
668,0,-1,43.0,1,0,1,0,1,0,0,0,0
669,1,1,40.0,0,0,1,0,0,1,0,0,1
670,1,0,40.0,0,0,1,0,0,1,0,0,1
671,0,1,31.0,1,0,1,0,1,0,0,0,1
672,0,0,70.0,1,0,1,0,1,0,0,0,0
673,1,0,31.0,1,0,1,0,1,0,0,0,0
674,0,0,31.0,1,0,1,0,1,0,0,0,0
675,0,-1,18.0,1,0,1,0,1,0,0,0,0
676,0,-1,24.5,1,0,1,0,1,0,0,0,0
677,1,-1,18.0,0,0,1,1,0,0,0,0,0
678,0,-1,43.0,0,0,1,0,0,1,0,1,0
679,1,1,36.0,1,0,0,0,1,0,0,0,1
680,0,-1,18.0,0,1,0,1,0,0,0,0,0
681,1,1,27.0,1,0,0,0,1,0,0,0,0
682,0,-1,20.0,1,0,1,0,1,0,0,0,0
683,0,-1,14.0,1,0,1,0,1,0,0,1,0
684,0,0,60.0,1,0,1,0,1,0,0,0,1
685,0,0,25.0,1,0,0,0,1,0,0,0,1
686,0,-1,14.0,1,0,1,0,1,0,0,1,0
687,0,-1,19.0,1,0,1,0,1,0,0,0,0
688,0,-1,18.0,1,0,1,0,1,0,0,0,0
689,1,1,15.0,0,0,1,1,0,0,0,0,1
690,1,1,31.0,1,0,1,0,1,0,0,0,1
691,1,-1,4.0,0,0,0,1,0,0,0,0,1
692,1,-1,26.0,1,0,1,0,1,0,0,0,0
693,0,-1,25.0,1,0,0,0,1,0,0,0,0
694,0,1,60.0,1,0,1,0,0,0,1,0,0
695,0,0,52.0,1,0,1,0,1,0,0,0,0
696,0,-1,44.0,1,0,1,0,1,0,0,0,0
697,1,-1,18.0,0,1,0,1,0,0,0,0,0
698,0,1,49.0,1,0,0,0,1,0,0,0,1
699,0,-1,42.0,1,0,1,0,1,0,0,0,0
700,1,1,18.0,0,0,0,0,0,1,0,0,1
701,1,1,35.0,1,0,1,0,1,0,0,0,0
702,0,-1,18.0,0,0,0,1,0,0,0,0,1
703,0,-1,25.0,1,1,0,0,1,0,0,0,0
704,0,-1,26.0,1,0,1,0,1,0,0,0,1
705,0,0,39.0,1,0,1,0,1,0,0,0,0
706,1,0,45.0,0,0,1,0,0,1,0,0,0
707,1,1,42.0,1,0,1,0,1,0,0,0,0
708,1,1,22.0,0,0,1,1,0,0,0,0,0
709,1,-1,4.0,1,0,0,0,0,0,0,0,1
710,1,1,24.0,0,0,0,1,0,0,0,0,0
711,0,1,40.0,1,0,1,0,1,0,0,0,0
712,1,1,48.0,1,0,1,0,1,0,0,0,1
713,0,-1,29.0,1,0,1,0,1,0,0,0,0
714,0,0,52.0,1,0,1,0,1,0,0,0,0
715,0,-1,19.0,1,0,1,0,1,0,0,0,0
716,1,1,38.0,0,0,0,1,0,0,0,0,0
717,1,0,27.0,0,0,1,1,0,0,0,0,0
718,0,-1,26.0,1,1,0,0,1,0,0,0,0
719,0,-1,33.0,1,0,1,0,1,0,0,0,0
720,1,0,6.0,0,0,1,1,0,0,0,0,1
721,0,-1,17.0,1,0,1,0,1,0,0,0,1
722,0,0,34.0,1,0,1,0,1,0,0,0,0
723,0,0,50.0,1,0,1,0,1,0,0,0,0
724,1,1,27.0,1,0,1,0,1,0,0,0,1
725,0,-1,20.0,1,0,1,0,1,0,0,0,0
726,1,0,30.0,0,0,1,0,0,1,0,0,1
727,1,-1,18.0,0,1,0,1,0,0,0,0,0
728,0,0,25.0,1,0,1,0,1,0,0,0,1
729,0,-1,25.0,0,0,1,1,0,0,0,0,1
730,1,1,29.0,0,0,1,1,0,0,0,0,0
731,0,-1,11.0,1,0,0,0,1,0,0,0,0
732,0,0,31.0,1,0,1,0,1,0,0,0,0
733,0,0,23.0,1,0,1,0,1,0,0,0,0
734,0,0,23.0,1,0,1,0,1,0,0,0,0
735,0,-1,28.5,1,0,1,0,1,0,0,0,0
736,0,-1,48.0,0,0,1,0,0,1,0,1,0
737,1,1,35.0,1,0,0,0,1,0,0,0,0
738,0,-1,26.0,1,0,1,0,1,0,0,0,0
739,0,-1,26.0,1,0,1,0,1,0,0,0,0
740,1,1,40.0,1,0,1,0,1,0,0,0,0
741,0,1,36.0,1,0,1,0,1,0,0,0,1
742,1,1,21.0,0,0,0,1,0,0,0,1,0
743,0,-1,24.0,1,0,1,0,1,0,0,0,1
744,1,-1,31.0,1,0,1,0,1,0,0,0,0
745,0,1,70.0,1,0,1,0,0,0,1,0,1
746,0,-1,16.0,1,0,1,0,1,0,0,0,1
747,1,0,30.0,0,0,1,1,0,0,0,0,0
748,0,1,19.0,1,0,1,0,1,0,0,0,1
749,0,-1,31.0,1,1,0,0,1,0,0,0,0
750,1,0,4.0,0,0,1,1,0,0,0,0,1
751,1,-1,6.0,1,0,1,0,0,0,0,0,1
752,0,-1,33.0,1,0,1,0,1,0,0,0,0
753,0,-1,23.0,1,0,1,0,1,0,0,0,0
754,1,0,48.0,0,0,1,0,0,1,0,0,1
755,1,0,0.67,1,0,1,0,0,0,0,0,1
756,0,-1,28.0,1,0,1,0,1,0,0,0,0
757,0,0,18.0,1,0,1,0,1,0,0,0,0
758,0,-1,34.0,1,0,1,0,1,0,0,0,0
759,1,1,33.0,0,0,1,0,0,0,1,0,0
760,0,-1,26.0,1,0,1,0,1,0,0,0,0
761,0,-1,41.0,1,0,1,0,1,0,0,0,0
762,1,-1,20.0,1,0,0,0,1,0,0,0,0
763,1,1,36.0,0,0,1,0,0,1,0,0,1
764,0,-1,16.0,1,0,1,0,1,0,0,0,0
765,1,1,51.0,0,0,1,0,0,1,0,0,1
766,0,1,49.0,1,0,0,0,0,0,1,0,0
767,0,-1,30.5,0,1,0,1,0,0,0,0,0
768,0,-1,26.0,1,1,0,0,1,0,0,0,1
769,0,-1,32.0,1,0,1,0,1,0,0,0,0
770,0,-1,24.0,1,0,1,0,1,0,0,0,0
771,0,-1,48.0,1,0,1,0,1,0,0,0,0
772,0,0,57.0,0,0,1,0,0,1,0,0,0
773,0,-1,26.0,1,0,0,0,1,0,0,0,0
774,1,0,54.0,0,0,1,0,0,1,0,1,0
775,0,-1,18.0,1,0,1,0,1,0,0,0,0
776,0,-1,26.0,1,1,0,0,1,0,0,0,0
777,1,-1,5.0,0,0,1,1,0,0,0,0,0
778,0,-1,26.0,1,1,0,0,1,0,0,0,0
779,1,1,43.0,0,0,1,0,0,1,0,0,1
780,1,-1,13.0,0,0,0,1,0,0,0,0,0
781,1,1,17.0,0,0,1,0,0,1,0,0,1
782,0,1,29.0,1,0,1,0,1,0,0,0,0
783,0,-1,26.0,1,0,1,0,1,0,0,0,1
784,0,-1,25.0,1,0,1,0,1,0,0,0,0
785,0,-1,25.0,1,0,1,0,1,0,0,0,0
786,1,-1,18.0,0,0,1,1,0,0,0,0,0
787,0,-1,8.0,1,1,0,0,0,0,0,1,0
788,1,-1,1.0,1,0,1,0,0,0,0,0,1
789,0,1,46.0,1,0,0,0,1,0,0,0,0
790,0,-1,26.0,1,1,0,0,1,0,0,0,0
791,0,0,16.0,1,0,1,0,1,0,0,0,0
792,0,-1,18.0,0,0,1,1,0,0,0,1,0
793,0,1,40.0,1,0,0,0,1,0,0,0,0
794,0,-1,25.0,1,0,1,0,1,0,0,0,0
795,0,0,39.0,1,0,1,0,1,0,0,0,0
796,1,1,49.0,0,0,1,0,0,0,1,0,0
797,1,-1,31.0,0,0,1,0,0,1,0,0,0
798,0,-1,30.0,1,0,0,0,1,0,0,0,0
799,0,-1,30.0,0,0,1,0,0,1,0,0,1
800,0,0,34.0,1,0,1,0,1,0,0,0,0
801,1,0,31.0,0,0,1,0,0,1,0,0,1
802,1,1,11.0,1,0,1,0,0,0,0,0,1
803,1,-1,0.42,1,0,0,0,0,0,0,0,1
804,1,-1,27.0,1,0,1,0,1,0,0,0,0
805,0,-1,31.0,1,0,1,0,1,0,0,0,0
806,0,1,39.0,1,0,1,0,1,0,0,0,0
807,0,-1,18.0,0,0,1,1,0,0,0,0,0
808,0,0,39.0,1,0,1,0,1,0,0,0,0
809,1,1,33.0,0,0,1,0,0,1,0,0,1
810,0,-1,26.0,1,0,1,0,1,0,0,0,0
811,0,-1,39.0,1,0,1,0,1,0,0,0,0
812,0,0,35.0,1,0,1,0,1,0,0,0,0
813,0,-1,6.0,0,0,1,1,0,0,0,1,0
814,0,-1,30.5,1,0,1,0,1,0,0,0,0
815,0,1,40.0,1,0,1,0,1,0,0,0,0
816,0,-1,23.0,0,0,1,1,0,0,0,0,0
817,0,0,31.0,1,0,0,0,1,0,0,0,1
818,0,-1,43.0,1,0,1,0,1,0,0,0,0
819,0,-1,10.0,1,0,1,0,0,0,0,1,0
820,1,1,52.0,0,0,1,0,0,1,0,0,1
821,1,-1,27.0,1,0,1,0,1,0,0,0,0
822,0,1,38.0,1,0,1,0,0,0,1,0,0
823,1,-1,27.0,0,0,1,0,0,1,0,0,1
824,0,-1,2.0,1,0,1,0,0,0,0,1,0
825,0,-1,26.0,1,1,0,0,1,0,0,0,0
826,0,-1,26.0,1,0,1,0,1,0,0,0,0
827,1,0,1.0,1,0,0,0,0,0,0,0,1
828,1,-1,26.0,1,1,0,0,1,0,0,0,0
829,1,1,62.0,0,0,0,0,0,1,0,0,0
830,1,-1,15.0,0,0,0,0,0,1,0,0,1
831,1,0,0.83,1,0,1,0,0,0,0,0,1
832,0,-1,26.0,1,0,0,0,1,0,0,0,0
833,0,-1,23.0,1,0,1,0,1,0,0,0,0
834,0,-1,18.0,1,0,1,0,1,0,0,0,0
835,1,1,39.0,0,0,0,1,0,0,0,0,1
836,0,-1,21.0,1,0,1,0,1,0,0,0,0
837,0,-1,26.0,1,0,1,0,1,0,0,0,0
838,1,-1,32.0,1,0,1,0,1,0,0,0,0
839,1,1,40.0,1,0,0,0,1,0,0,0,0
840,0,-1,20.0,1,0,1,0,1,0,0,0,0
841,0,0,16.0,1,0,1,0,1,0,0,0,0
842,1,1,30.0,0,0,0,1,0,0,0,0,0
843,0,-1,34.5,1,0,0,0,1,0,0,0,0
844,0,-1,17.0,1,0,1,0,1,0,0,0,0
845,0,-1,42.0,1,0,1,0,1,0,0,0,0
846,0,-1,26.0,1,0,1,0,1,0,0,1,0
847,0,-1,35.0,1,0,0,0,1,0,0,0,0
848,0,0,28.0,1,0,1,0,0,0,1,0,1
849,1,1,40.0,0,0,0,0,0,1,0,0,1
850,0,-1,4.0,1,0,1,0,0,0,0,1,0
851,0,-1,74.0,1,0,1,0,1,0,0,0,0
852,0,-1,9.0,0,0,0,1,0,0,0,0,1
853,1,1,16.0,0,0,1,1,0,0,0,0,1
854,0,0,44.0,0,0,1,0,0,1,0,0,1
855,1,-1,18.0,0,0,1,0,0,1,0,0,1
856,1,1,45.0,0,0,1,0,0,1,0,0,1
857,1,1,51.0,1,0,1,0,1,0,0,0,0
858,1,-1,24.0,0,0,0,0,0,1,0,0,1
859,0,-1,26.0,1,0,0,0,1,0,0,0,0
860,0,-1,41.0,1,0,1,0,1,0,0,0,1
861,0,0,21.0,1,0,1,0,1,0,0,0,1
862,1,1,48.0,0,0,1,0,0,1,0,0,0
863,0,-1,18.0,0,0,1,1,0,0,0,1,0
864,0,0,24.0,1,0,1,0,1,0,0,0,0
865,1,0,42.0,0,0,1,0,0,1,0,0,0
866,1,0,27.0,0,0,0,1,0,0,0,0,1
867,0,1,31.0,1,0,1,0,1,0,0,0,0
868,0,-1,26.0,1,0,1,0,1,0,0,0,0
869,1,-1,4.0,1,0,1,0,0,0,0,0,1
870,0,-1,26.0,1,0,1,0,1,0,0,0,0
871,1,1,47.0,0,0,1,0,0,1,0,0,1
872,0,1,33.0,1,0,1,0,1,0,0,0,0
873,0,-1,47.0,1,0,1,0,1,0,0,0,0
874,1,0,28.0,0,0,0,0,0,1,0,0,1
875,1,-1,15.0,0,0,0,1,0,0,0,0,0
876,0,-1,20.0,1,0,1,0,1,0,0,0,0
877,0,-1,19.0,1,0,1,0,1,0,0,0,0
878,0,-1,26.0,1,0,1,0,1,0,0,0,0
879,1,1,56.0,0,0,0,0,0,1,0,0,1
880,1,0,25.0,0,0,1,0,0,1,0,0,1
881,0,-1,33.0,1,0,1,0,1,0,0,0,0
882,0,-1,22.0,0,0,1,1,0,0,0,0,0
883,0,0,28.0,1,0,1,0,1,0,0,0,0
884,0,-1,25.0,1,0,1,0,1,0,0,0,0
885,0,-1,39.0,0,1,0,0,0,1,0,1,0
886,0,0,27.0,1,0,1,0,0,0,1,0,0
887,1,1,19.0,0,0,1,1,0,0,0,0,0
888,0,-1,18.0,0,0,1,1,0,0,0,0,1
889,1,1,26.0,1,0,0,0,1,0,0,0,0
890,0,-1,32.0,1,1,0,0,1,0,0,0,0
